p_train,p_test,run_id,seed,epochs,mlp_depth,mlp_width,test_loss,test_accuracy
0.0,0.7250000000000001,4,1238,20,3,128,15.165565411376953,0.1475
0.0,0.7375,4,1238,20,3,128,15.541792222595214,0.1391
0.0,0.75,4,1238,20,3,128,15.924112475585938,0.1382
0.0,0.7625000000000001,4,1238,20,3,128,16.38552423095703,0.1325
0.0,0.775,4,1238,20,3,128,16.791472076416017,0.1272
0.0,0.7875000000000001,4,1238,20,3,128,17.246675846862793,0.1237
0.0,0.8,4,1238,20,3,128,17.727554623413084,0.1214
0.0,0.8125,4,1238,20,3,128,18.130528573608398,0.1171
0.0,0.8250000000000001,4,1238,20,3,128,18.460126126098633,0.1148
0.0,0.8375,4,1238,20,3,128,19.043920962524414,0.1102
0.0,0.8500000000000001,4,1238,20,3,128,19.47552042388916,0.108
0.0,0.8625,4,1238,20,3,128,19.943090936279297,0.1039
0.0,0.875,4,1238,20,3,128,20.339957440185547,0.1005
0.0,0.8875000000000001,4,1238,20,3,128,20.795209634399413,0.0989
0.0,0.9,4,1238,20,3,128,21.365222442626955,0.0948
0.0,0.9125000000000001,4,1238,20,3,128,21.765341897583006,0.0948
0.0,0.925,4,1238,20,3,128,22.128211831665038,0.0934
0.0,0.9375,4,1238,20,3,128,22.76940405883789,0.0935
0.0,0.9500000000000001,4,1238,20,3,128,23.243671566772463,0.0915
0.0,0.9625,4,1238,20,3,128,23.52107861328125,0.0918
0.0,0.9750000000000001,4,1238,20,3,128,24.28436215209961,0.0892
0.0,0.9875,4,1238,20,3,128,24.683634423828124,0.0893
0.0,1.0,4,1238,20,3,128,25.06540764770508,0.0898
0.0,0.0,6,1240,20,3,128,0.13440153591360213,0.9731
0.0,0.0125,6,1240,20,3,128,0.14730497365657066,0.9704
0.0,0.025,6,1240,20,3,128,0.16919076782502235,0.9662
0.0,0.037500000000000006,6,1240,20,3,128,0.2044993163704872,0.9564
0.0,0.05,6,1240,20,3,128,0.2300651620591758,0.9498
0.0,0.0625,6,1240,20,3,128,0.2630877239733934,0.9415
0.0,0.07500000000000001,6,1240,20,3,128,0.33652906626164913,0.9287
0.0,0.08750000000000001,6,1240,20,3,128,0.394577605047822,0.915
0.0,0.1,6,1240,20,3,128,0.4679951473236084,0.901
0.0,0.1125,6,1240,20,3,128,0.5699526012420655,0.8849
0.0,0.125,6,1240,20,3,128,0.6506800489902497,0.8697
0.0,0.1375,6,1240,20,3,128,0.7775401934921742,0.848
0.0,0.15000000000000002,6,1240,20,3,128,0.9221521154403687,0.8239
0.0,0.1625,6,1240,20,3,128,1.0054324298858643,0.8083
0.0,0.17500000000000002,6,1240,20,3,128,1.1877545436859132,0.7866
0.0,0.1875,6,1240,20,3,128,1.3776663024902345,0.7599
0.0,0.2,6,1240,20,3,128,1.5092696235656737,0.7389
0.0,0.21250000000000002,6,1240,20,3,128,1.711839988708496,0.72
0.0,0.225,6,1240,20,3,128,1.824507575416565,0.7039
0.0,0.23750000000000002,6,1240,20,3,128,2.028405414199829,0.6832
0.0,0.25,6,1240,20,3,128,2.230166596221924,0.6509
0.0,0.2625,6,1240,20,3,128,2.371509297943115,0.6437
0.0,0.275,6,1240,20,3,128,2.6935419052124026,0.6136
0.0,0.28750000000000003,6,1240,20,3,128,2.8158574836730956,0.5983
0.0,0.30000000000000004,6,1240,20,3,128,2.9603118942260744,0.5833
0.0,0.3125,6,1240,20,3,128,3.171852760696411,0.562
0.0,0.325,6,1240,20,3,128,3.3075516658782957,0.5542
0.0,0.3375,6,1240,20,3,128,3.6470426250457764,0.522
0.0,0.35000000000000003,6,1240,20,3,128,3.887694048309326,0.5071
0.0,0.36250000000000004,6,1240,20,3,128,4.045222044372559,0.4953
0.0,0.375,6,1240,20,3,128,4.282343305969238,0.4773
0.0,0.3875,6,1240,20,3,128,4.476045220184326,0.4632
0.0,0.4,6,1240,20,3,128,4.534179781723022,0.4541
0.0,0.41250000000000003,6,1240,20,3,128,4.828448837661743,0.4383
0.0,0.42500000000000004,6,1240,20,3,128,5.043793602371216,0.422
0.0,0.4375,6,1240,20,3,128,5.189657982635498,0.4074
0.0,0.45,6,1240,20,3,128,5.380853198242187,0.3999
0.0,0.4625,6,1240,20,3,128,5.701186341094971,0.3854
0.0,0.47500000000000003,6,1240,20,3,128,5.829780970001221,0.3707
0.0,0.48750000000000004,6,1240,20,3,128,6.212636960601807,0.351
0.0,0.5,6,1240,20,3,128,6.28847543258667,0.3522
0.0,0.5125000000000001,6,1240,20,3,128,6.582356356811523,0.3321
0.0,0.525,6,1240,20,3,128,6.839085475158692,0.3202
0.0,0.5375,6,1240,20,3,128,7.158330674743652,0.3054
0.0,0.55,6,1240,20,3,128,7.415044671630859,0.2919
0.0,0.5625,6,1240,20,3,128,7.642910165405273,0.2864
0.0,0.5750000000000001,6,1240,20,3,128,8.047118713378905,0.2692
0.0,0.5875,6,1240,20,3,128,8.243970947265625,0.2605
0.0,0.6000000000000001,6,1240,20,3,128,8.621047341918946,0.2477
0.0,0.6125,6,1240,20,3,128,8.95483203201294,0.238
0.0,0.625,6,1240,20,3,128,9.292700372314453,0.2269
0.0,0.6375000000000001,6,1240,20,3,128,9.676320977020264,0.2173
0.0,0.65,6,1240,20,3,128,10.121530059051514,0.2066
0.0,0.6625000000000001,6,1240,20,3,128,10.487941891479492,0.1934
0.0,0.675,6,1240,20,3,128,10.905524063110352,0.1843
0.0,0.6875,6,1240,20,3,128,11.271311836242676,0.1842
0.0,0.7000000000000001,6,1240,20,3,128,11.89447530822754,0.1696
0.0,0.7125,6,1240,20,3,128,12.33463988494873,0.1614
0.0,0.7250000000000001,6,1240,20,3,128,12.605928535461425,0.1637
0.0,0.7375,6,1240,20,3,128,13.18191721496582,0.1536
